"X","Unnamed..0","Name","Artist","Section","Progression","EndDifferent","NumSectionChords","nonDiatonicChords","extendedChords"
3,3,"Sorry","Justin Bieber","Chorus","II#-v-IV","II#-IV",4,3,0
4,4,"Sorry","Justin Bieber","Bridge","II#-v-IV","II#-IV",4,3,0
5,5,"Sorry","Justin Bieber","Outro","II#-v-IV","",3,2,0
0,0,"Love Story","Taylor Swift","Intro","I-V-vi-IV","",4,0,0
1,1,"Love Story","Taylor Swift","Verse ","I-IV-vi-IV-I-IV-vi-V","",4,0,0
2,2,"Love Story","Taylor Swift","Pre-Chorus","IV-V-vi-I-IV-V-vi","V",4,0,0
3,3,"Love Story","Taylor Swift","Chorus","I-V-vi-IV-V-I","",4,0,0
4,4,"Love Story","Taylor Swift","Solo","I-V-vi-IV-V","",4,0,0
5,5,"Love Story","Taylor Swift","Bridge","vi-IV-I-V","",4,0,0
6,6,"Love Story","Taylor Swift","Outro","II-VI-vii-V-VI-II","",4,5,0
0,0,"8","Billie Eilish","Verse ","I-ii-V","",4,0,1
1,1,"8","Billie Eilish","Chorus ","I-ii-V","",4,0,1
0,0,"Walk","Foo Fighters","Verse ","III-VII-iv#-vi","",4,3,0
1,1,"Walk","Foo Fighters","Chorus","III-VII-iv#-vi","",4,3,0
2,2,"Walk","Foo Fighters","Bridge","III-VII-i#-VI-vi","",5,4,0
3,3,"Walk","Foo Fighters","Outro","III-VII-iv#-vi-III","",4,4,0
0,0,"Change","Taylor Swift","Intro","IV","IV",2,0,1
0,0,"Won't Go Home without you","Maroon 5","Verse ","I-ii-V-I-vi-ii-IV-V-I","",6,0,1
1,1,"Won't Go Home without you","Maroon 5","Pre-Chorus","I-vi-IV#-IV-V","",5,1,0
2,2,"Won't Go Home without you","Maroon 5","Chorus","I-ii-IV-V-I","",4,0,0
3,3,"Won't Go Home without you","Maroon 5","Bridge","VIIb-IV-I-V-IIIb-VIIb-IV-V","",5,3,0
4,4,"Won't Go Home without you","Maroon 5","Outro","I-ii-IV-V-I-vi-IV-I","",5,0,0
0,0,"you Belong with Me","Taylor Swift","Intro","VI#","",1,1,0
1,1,"you Belong with Me","Taylor Swift","Verse ","VI#-IV-i-II#","",4,3,0
2,2,"you Belong with Me","Taylor Swift","Pre-Chorus","i-II#-VI#-IV-i-II#-IV","",4,5,0
3,3,"you Belong with Me","Taylor Swift","Chorus","VI#-IV-i-II#-VI#","",4,4,0
4,4,"you Belong with Me","Taylor Swift","Bridge","VI#-IV-i-II#-i-II#-VI#-IV-i-II#","i-II#-VI#-IV-i-II#-VI#-IV",4,14,0
5,5,"you Belong with Me","Taylor Swift","Outro","IV-i-II#-VI#","",4,3,0
0,0,"all the Good Girls Go to Hell","Billie Eilish","Verse ","vi-IV-ii-III","",4,1,1
1,1,"all the Good Girls Go to Hell","Billie Eilish","Pre-Chorus ","vi-IV-ii-III","",4,1,1
2,2,"all the Good Girls Go to Hell","Billie Eilish","Chorus ","vi-IV-ii-III","",4,1,1
3,3,"all the Good Girls Go to Hell","Billie Eilish","Post-Chorus ","vi-IV-ii-III","",4,1,1
4,4,"all the Good Girls Go to Hell","Billie Eilish","Outro","vi-IV-ii-III","",4,1,1
0,0,"Suncity","Khalid","Intro","vi-V-ii-iii","",4,0,0
0,0,"Moves Like Jagger","Maroon 5","Verse ","vi-I-V","IV",4,0,0
1,1,"Moves Like Jagger","Maroon 5","Chorus","vi-I-V-IV","",4,0,0
2,2,"Moves Like Jagger","Maroon 5","Bridge","vi-I-V-IV","",4,0,0
0,0,"you Should See Me in a Crown","Billie Eilish","Intro","I-III-vii-V","",4,2,0
1,1,"you Should See Me in a Crown","Billie Eilish","Verse ","III-I-V-I","V",3,1,0
2,2,"you Should See Me in a Crown","Billie Eilish","Chorus","III-vii-III","",2,3,0
0,0,"Talk","Khalid","Intro","I-iii-ii-iii-ii","IV",5,0,6
1,1,"Talk","Khalid","Chorus","I-iii-ii-iii-ii","IV",5,0,6
2,2,"Talk","Khalid","Verse ","I-iii-ii-iii-ii","IV-I-iii",5,0,6
3,3,"Talk","Khalid","Outro","I-iii-ii-iii-ii","",5,0,4
0,0,"Bad Guy","Billie Eilish","Intro","vi-ii-III","",3,1,1
1,1,"Bad Guy","Billie Eilish","Verse ","vi-ii-III","",3,1,1
2,2,"Bad Guy","Billie Eilish","Chorus ","vi-ii-III","",3,1,1
3,3,"Bad Guy","Billie Eilish","Post-Chorus ","vi-ii-III","",3,1,1
4,4,"Bad Guy","Billie Eilish","Interlude","vi","",1,0,0
5,5,"Bad Guy","Billie Eilish","Outro","vi","",1,0,0
0,0,"Wildest Dreams","Taylor Swift","Intro","I-iii-II","",3,1,0
1,1,"Wildest Dreams","Taylor Swift","Verse","I-iii-II","",3,1,0
2,2,"Wildest Dreams","Taylor Swift","Chorus","V-II-vi-I","",4,1,0
3,3,"Wildest Dreams","Taylor Swift","Bridge","V-II-vi-I","",4,1,0
0,0,"Learn to Fly","Foo Fighters","Intro","I-v-IV","",3,1,0
1,1,"Learn to Fly","Foo Fighters","Verse","I-v-IV","",3,1,0
2,2,"Learn to Fly","Foo Fighters","Chorus","I-v-IV","I",5,1,0
3,3,"Learn to Fly","Foo Fighters","Bridge","V#-II#-IV-V#-VI#-I","VI#",5,5,0
4,4,"Learn to Fly","Foo Fighters","Outro","I","I",3,0,1
0,0,"Wish you Were Gay","Billie Eilish","Verse ","vi-II-V-iii","",4,1,1
1,1,"Wish you Were Gay","Billie Eilish","Chorus","vi-II-V-iii","",4,1,1
2,2,"Wish you Were Gay","Billie Eilish","Bridge","vi-II-V-iii","",4,1,1
0,0,"Girls Like you","Maroon 5","Verse ","I-V-vi-IV","",4,0,0
1,1,"Girls Like you","Maroon 5","Pre-Chorus","I-V-vi-IV","",4,0,0
2,2,"Girls Like you","Maroon 5","Chorus","I-V-vi-IV","IV-I",4,0,0
3,3,"Girls Like you","Maroon 5","Post-Chorus","V-vi-IV-I-V-vi-IV","",4,0,0
4,4,"Girls Like you","Maroon 5","Bridge","I-V-vi-IV","",4,0,0
5,5,"Girls Like you","Maroon 5","Outro","I-V-vi-IV","",4,0,0
0,0,"i Love you","Billie Eilish","Intro","IV-I","",2,0,1
1,1,"i Love you","Billie Eilish","Verse ","IV-I","",3,0,1
2,2,"i Love you","Billie Eilish","Chorus","IV-ii-V-vi-I-IV-I","",6,0,1
3,3,"i Love you","Billie Eilish","Bridge","ii-V-IV","",3,0,0
4,4,"i Love you","Billie Eilish","Outro","IV-ii-V-vi-I-IV-I-IV-I-IV-I","",6,0,1
0,0,"Animals","Maroon 5","Chorus","vi-V-IV","vi",3,0,0
1,1,"Animals","Maroon 5","Verse","V-IV-vi","IV",3,0,0
2,2,"Animals","Maroon 5","Pre-Chorus","vi","IV",3,0,0
3,3,"Animals","Maroon 5","Post-Chorus","V-IV-vi-V","IV",3,0,0
4,4,"Animals","Maroon 5","Bridge","vi","",1,0,0
0,0,"Blank Space","Taylor Swift","Verse","I-vi-IV-V-I-vi-IV-V-IV-V","",5,0,1
